event_type,event_message,event_status,event_open_date,event_closed_date,customer_notes,customer_service_notes,EventID
KYC_Update,Customer provided updated ID documents.,Closed,9/17/2018,2/2/2019,Customer satisfied,Pending verification,EVT00001
KYC_Update,Customer provided updated ID documents.,Closed,7/31/2023,9/9/2023,Needs follow-up,No action required,EVT00002
KYC_Update,Customer provided updated ID documents.,Closed,8/12/2021,9/6/2021,Needs follow-up,Ticket#96362,EVT00003
Fraud_detection,Unusual login pattern detected; possible card skimming.,Closed,6/16/2019,6/25/2019,Waiting on documents,Refund issued,EVT00004
Fraud_detection,Unusual login pattern detected; possible card skimming.,Closed,5/11/2018,10/23/2018,Customer satisfied,Refund issued,EVT00005
Account_Closure,Customer requested closure of checking account.,Closed,11/12/2025,1/17/2026,"Called support, resolved",Escalated to fraud team,EVT00006
Account_Closure,Customer requested closure of checking account.,Closed,10/18/2018,12/11/2018,Customer satisfied,Refund issued,EVT00007
KYC_Update,Customer provided updated ID documents.,Open,9/6/2018,,Needs follow-up,No action required,EVT00008
Fraud_detection,Unusual login pattern detected; possible card skimming.,Open,12/1/2024,,Needs follow-up,Ticket#15328,EVT00009
Complaint,Customer reported incorrect fee on statement.,Closed,11/16/2018,3/29/2019,"Called support, resolved",Escalated to fraud team,EVT00010
Account_Closure,Customer requested closure of checking account.,Closed,4/28/2022,6/17/2022,Needs follow-up,Escalated to fraud team,EVT00011
KYC_Update,Customer provided updated ID documents.,Closed,1/3/2020,5/25/2020,Customer satisfied,Pending verification,EVT00012
Complaint,Customer reported incorrect fee on statement.,Open,7/25/2025,,Customer satisfied,Escalated to fraud team,EVT00013
Marketing,Offer: 2.5% APY on new savings account.,Open,3/2/2024,,Needs follow-up,Escalated to fraud team,EVT00014
Account_Closure,Customer requested closure of checking account.,Open,12/20/2022,,Requested escalation,No action required,EVT00015
Complaint,Customer reported incorrect fee on statement.,Closed,8/16/2022,12/5/2022,Requested escalation,Escalated to fraud team,EVT00016
Account_Closure,Customer requested closure of checking account.,Closed,2/13/2024,5/20/2024,Needs follow-up,No action required,EVT00017
Service_Request,Request to update mailing address and phone number.,Closed,6/15/2022,6/24/2022,Requested escalation,Ticket#88087,EVT00018
Account_Closure,Customer requested closure of checking account.,Open,7/8/2019,,"Called support, resolved",Escalated to fraud team,EVT00019
Complaint,Customer reported incorrect fee on statement.,Closed,3/30/2018,6/9/2018,Needs follow-up,Pending verification,EVT00020
Account_Closure,Customer requested closure of checking account.,Closed,9/26/2019,10/6/2019,Customer satisfied,Escalated to fraud team,EVT00021
Marketing,Offer: 2.5% APY on new savings account.,Open,12/21/2020,,Needs follow-up,Escalated to fraud team,EVT00022
Complaint,Customer reported incorrect fee on statement.,Closed,5/15/2021,10/9/2021,Customer satisfied,Escalated to fraud team,EVT00023
Fraud_detection,Unusual login pattern detected; possible card skimming.,Open,8/22/2021,,Waiting on documents,Pending verification,EVT00024
Fraud_detection,Unusual login pattern detected; possible card skimming.,Closed,9/4/2024,11/20/2024,"Called support, resolved",Refund issued,EVT00025
Fraud_detection,Unusual login pattern detected; possible card skimming.,Open,8/18/2018,,Requested escalation,Refund issued,EVT00026
Marketing,Offer: 2.5% APY on new savings account.,Closed,4/27/2025,4/30/2025,Customer satisfied,No action required,EVT00027
Fraud_detection,Unusual login pattern detected; possible card skimming.,Closed,7/31/2021,12/23/2021,Waiting on documents,Pending verification,EVT00028
KYC_Update,Customer provided updated ID documents.,Closed,6/23/2020,7/6/2020,Customer satisfied,Pending verification,EVT00029
Account_Closure,Customer requested closure of checking account.,Closed,8/30/2023,10/26/2023,Customer satisfied,Refund issued,EVT00030
Marketing,Offer: 2.5% APY on new savings account.,Closed,10/8/2021,2/7/2022,Needs follow-up,Pending verification,EVT00031
Complaint,Customer reported incorrect fee on statement.,Open,12/15/2018,,Needs follow-up,Escalated to fraud team,EVT00032
Marketing,Offer: 2.5% APY on new savings account.,Closed,5/24/2023,7/14/2023,Customer satisfied,Pending verification,EVT00033
Account_Closure,Customer requested closure of checking account.,Closed,11/28/2024,4/12/2025,Waiting on documents,Ticket#41760,EVT00034
Service_Request,Request to update mailing address and phone number.,Closed,8/17/2021,1/12/2022,"Called support, resolved",Refund issued,EVT00035
